Names
Robert Baratheon
Tyrion Lannister
Cersei Lannister
Catelyn Stark
Jaime Lannister
Daenerys Targaryen
Viserys Targaryen
Jon Snow
Robb Stark
Sansa Stark
Arya Stark
Bran Stark
Rickon Stark
Joffrey Baratheon
Jorah Mormont
Theon Greyjoy
Samwell Tarly
Renly Baratheon
Ros
Jeor Mormont
Gendry
Lysa Arryn
Robin Arryn
Bronn
Grand Maester Pycelle
Varys
Loras Tyrell
Shae
Benjen Stark
Barristan Selmy
Khal Drogo
Hodor
Lancel Lannister
Maester Luwin
Alliser Thorne
Osha
Maester Aemon
Talisa Stark
Brienne of Tarth
Davos Seaworth
Tywin Lannister
Stannis Baratheon
Margaery Tyrell
Ygritte
Balon Greyjoy
Roose Bolton
Gilly
Podrick Payne
Melisandre
Yara Greyjoy
Jaqen H’ghar
Grey Worm
Beric Dondarrion
Missandei
Mance Rayder
Tormund
Ramsay Snow
Olenna Tyrell
Thoros of Myr
Orell
Qyburn
Brynden Tully (“The Blackfish”)
Tommen Baratheon
Daario Naharis
Oberyn Martell
Myrcella Baratheon
Obara Sand
Nym Sand
Tyene Sand
High Sparrow
Trystane Martell
Doran Martell
Euron Greyjoy
Lady Crane
High Priestess
Randyll Tarly
Izembaro
Brother Ray
Archmaester Ebrose
